Código do colaborador,Data de Admissão,Data de desligamento,Ano-mês de referência,Equipe
AST5,2025-03-01,,2025-07,Equipe 17
AST5,2025-03-01,,2025-08,Equipe 17
AST5,2025-03-01,,2025-09,Equipe 17
AST5,2025-03-01,,2025-10,Equipe 17
AST5,2025-03-01,,2025-11,Equipe 17
AST5,2025-03-01,,2025-12,Equipe 17
J284,2025-01-26,,2025-02,Equipe 16
J284,2025-01-26,,2025-03,Equipe 7
J284,2025-01-26,,2025-04,Equipe 7
J284,2025-01-26,,2025-05,Equipe 7
J284,2025-01-26,,2025-06,Equipe 7
J284,2025-01-26,,2025-07,Equipe 7
J284,2025-01-26,,2025-08,Equipe 7
J284,2025-01-26,,2025-09,Equipe 7
J284,2025-01-26,,2025-10,Equipe 7
J284,2025-01-26,,2025-11,Equipe 7
J284,2025-01-26,,2025-12,Equipe 7
WV98,2025-08-17,,2025-09,Equipe 10
WV98,2025-08-17,,2025-10,Equipe 10
WV98,2025-08-17,,2025-11,Equipe 10
WV98,2025-08-17,,2025-12,Equipe 10
Y3UM,2025-04-06,2025-07-09,2025-05,Equipe 8
Y3UM,2025-04-06,2025-07-09,2025-06,Equipe 8
Y3UM,2025-04-06,2025-07-09,2025-07,Equipe 8
CU4Y,2025-10-28,,2025-11,Equipe 16
CU4Y,2025-10-28,,2025-12,Equipe 16
YJ5C,2025-06-27,,2025-07,Equipe 20
YJ5C,2025-06-27,,2025-08,Equipe 20
YJ5C,2025-06-27,,2025-09,Equipe 20
YJ5C,2025-06-27,,2025-10,Equipe 20
YJ5C,2025-06-27,,2025-11,Equipe 5
YJ5C,2025-06-27,,2025-12,Equipe 5
I6VG,2025-03-08,,2025-04,Equipe 14
I6VG,2025-03-08,,2025-05,Equipe 14
I6VG,2025-03-08,,2025-06,Equipe 14
I6VG,2025-03-08,,2025-07,Equipe 14
I6VG,2025-03-08,,2025-08,Equipe 14
I6VG,2025-03-08,,2025-09,Equipe 14
I6VG,2025-03-08,,2025-10,Equipe 14
I6VG,2025-03-08,,2025-11,Equipe 14
I6VG,2025-03-08,,2025-12,Equipe 14
2G73,2025-10-01,,2025-10,Equipe 2
2G73,2025-10-01,,2025-11,Equipe 2
2G73,2025-10-01,,2025-12,Equipe 2
ZFV8,2025-04-20,,2025-05,Equipe 10
ZFV8,2025-04-20,,2025-06,Equipe 10
ZFV8,2025-04-20,,2025-07,Equipe 10
ZFV8,2025-04-20,,2025-08,Equipe 5
ZFV8,2025-04-20,,2025-09,Equipe 5
ZFV8,2025-04-20,,2025-10,Equipe 5
ZFV8,2025-04-20,,2025-11,Equipe 5
ZFV8,2025-04-20,,2025-12,Equipe 5
YU58,2025-08-01,,2025-08,Equipe 6
YU58,2025-08-01,,2025-09,Equipe 6
YU58,2025-08-01,,2025-10,Equipe 6
YU58,2025-08-01,,2025-11,Equipe 6
YU58,2025-08-01,,2025-12,Equipe 6
CEPS,2025-04-26,2025-06-26,2025-05,Equipe 9
CEPS,2025-04-26,2025-06-26,2025-06,Equipe 9
OF1G,2025-01-01,2025-12-05,2025-01,Equipe 19
OF1G,2025-01-01,2025-12-05,2025-02,Equipe 19
OF1G,2025-01-01,2025-12-05,2025-03,Equipe 19
OF1G,2025-01-01,2025-12-05,2025-04,Equipe 19
OF1G,2025-01-01,2025-12-05,2025-05,Equipe 19
OF1G,2025-01-01,2025-12-05,2025-06,Equipe 19
OF1G,2025-01-01,2025-12-05,2025-07,Equipe 19
OF1G,2025-01-01,2025-12-05,2025-08,Equipe 19
OF1G,2025-01-01,2025-12-05,2025-09,Equipe 19
OF1G,2025-01-01,2025-12-05,2025-10,Equipe 19
OF1G,2025-01-01,2025-12-05,2025-11,Equipe 19
OF1G,2025-01-01,2025-12-05,2025-12,Equipe 19
G2KT,2025-09-28,,2025-10,Equipe 12
G2KT,2025-09-28,,2025-11,Equipe 12
G2KT,2025-09-28,,2025-12,Equipe 12
BCUD,2025-06-23,,2025-07,Equipe 11
BCUD,2025-06-23,,2025-08,Equipe 11
BCUD,2025-06-23,,2025-09,Equipe 11
BCUD,2025-06-23,,2025-10,Equipe 11
BCUD,2025-06-23,,2025-11,Equipe 11
BCUD,2025-06-23,,2025-12,Equipe 11
SWX1,2025-10-04,,2025-11,Equipe 20
SWX1,2025-10-04,,2025-12,Equipe 20
JP70,2025-03-06,,2025-04,Equipe 19
JP70,2025-03-06,,2025-05,Equipe 19
JP70,2025-03-06,,2025-06,Equipe 19
JP70,2025-03-06,,2025-07,Equipe 19
JP70,2025-03-06,,2025-08,Equipe 19
JP70,2025-03-06,,2025-09,Equipe 9
JP70,2025-03-06,,2025-10,Equipe 9
JP70,2025-03-06,,2025-11,Equipe 9
JP70,2025-03-06,,2025-12,Equipe 9
LKLF,2025-11-16,,2025-12,Equipe 3
O3Q3,2025-06-08,,2025-07,Equipe 9
O3Q3,2025-06-08,,2025-08,Equipe 9
O3Q3,2025-06-08,,2025-09,Equipe 9
O3Q3,2025-06-08,,2025-10,Equipe 9
O3Q3,2025-06-08,,2025-11,Equipe 9
O3Q3,2025-06-08,,2025-12,Equipe 9
QA3S,2025-07-10,,2025-08,Equipe 14
QA3S,2025-07-10,,2025-09,Equipe 14
QA3S,2025-07-10,,2025-10,Equipe 14
QA3S,2025-07-10,,2025-11,Equipe 14
QA3S,2025-07-10,,2025-12,Equipe 14
8KE2,2025-03-06,,2025-04,Equipe 18
8KE2,2025-03-06,,2025-05,Equipe 18
8KE2,2025-03-06,,2025-06,Equipe 18
8KE2,2025-03-06,,2025-07,Equipe 12
8KE2,2025-03-06,,2025-08,Equipe 12
8KE2,2025-03-06,,2025-09,Equipe 12
8KE2,2025-03-06,,2025-10,Equipe 12
8KE2,2025-03-06,,2025-11,Equipe 12
8KE2,2025-03-06,,2025-12,Equipe 12
WT1Q,2025-07-28,,2025-08,Equipe 8
WT1Q,2025-07-28,,2025-09,Equipe 8
WT1Q,2025-07-28,,2025-10,Equipe 8
WT1Q,2025-07-28,,2025-11,Equipe 8
WT1Q,2025-07-28,,2025-12,Equipe 8
3TMY,2025-01-06,,2025-02,Equipe 11
3TMY,2025-01-06,,2025-03,Equipe 11
3TMY,2025-01-06,,2025-04,Equipe 11
3TMY,2025-01-06,,2025-05,Equipe 11
3TMY,2025-01-06,,2025-06,Equipe 11
3TMY,2025-01-06,,2025-07,Equipe 11
3TMY,2025-01-06,,2025-08,Equipe 11
3TMY,2025-01-06,,2025-09,Equipe 11
3TMY,2025-01-06,,2025-10,Equipe 11
3TMY,2025-01-06,,2025-11,Equipe 11
3TMY,2025-01-06,,2025-12,Equipe 11
4GPY,2025-04-21,,2025-05,Equipe 9
4GPY,2025-04-21,,2025-06,Equipe 9
4GPY,2025-04-21,,2025-07,Equipe 9
4GPY,2025-04-21,,2025-08,Equipe 9
4GPY,2025-04-21,,2025-09,Equipe 9
4GPY,2025-04-21,,2025-10,Equipe 9
4GPY,2025-04-21,,2025-11,Equipe 9
4GPY,2025-04-21,,2025-12,Equipe 9
WSSB,2025-03-11,,2025-04,Equipe 5
WSSB,2025-03-11,,2025-05,Equipe 5
WSSB,2025-03-11,,2025-06,Equipe 5
WSSB,2025-03-11,,2025-07,Equipe 5
WSSB,2025-03-11,,2025-08,Equipe 5
WSSB,2025-03-11,,2025-09,Equipe 5
WSSB,2025-03-11,,2025-10,Equipe 5
WSSB,2025-03-11,,2025-11,Equipe 5
WSSB,2025-03-11,,2025-12,Equipe 5
5SOW,2025-08-01,,2025-08,Equipe 19
5SOW,2025-08-01,,2025-09,Equipe 19
5SOW,2025-08-01,,2025-10,Equipe 19
5SOW,2025-08-01,,2025-11,Equipe 19
5SOW,2025-08-01,,2025-12,Equipe 19
GCT2,2025-12-01,2025-12-24,2025-12,Equipe 12
CXIF,2025-03-14,,2025-04,Equipe 3
CXIF,2025-03-14,,2025-05,Equipe 3
CXIF,2025-03-14,,2025-06,Equipe 3
CXIF,2025-03-14,,2025-07,Equipe 3
CXIF,2025-03-14,,2025-08,Equipe 3
CXIF,2025-03-14,,2025-09,Equipe 3
CXIF,2025-03-14,,2025-10,Equipe 3
CXIF,2025-03-14,,2025-11,Equipe 3
CXIF,2025-03-14,,2025-12,Equipe 3
SU0L,2025-06-18,,2025-07,Equipe 20
SU0L,2025-06-18,,2025-08,Equipe 20
SU0L,2025-06-18,,2025-09,Equipe 20
SU0L,2025-06-18,,2025-10,Equipe 20
SU0L,2025-06-18,,2025-11,Equipe 20
SU0L,2025-06-18,,2025-12,Equipe 20
MI8X,2025-10-21,,2025-11,Equipe 5
MI8X,2025-10-21,,2025-12,Equipe 5
Q4SV,2025-06-09,,2025-07,Equipe 1
Q4SV,2025-06-09,,2025-08,Equipe 1
Q4SV,2025-06-09,,2025-09,Equipe 1
Q4SV,2025-06-09,,2025-10,Equipe 1
Q4SV,2025-06-09,,2025-11,Equipe 1
Q4SV,2025-06-09,,2025-12,Equipe 12
H3EJ,2025-06-06,,2025-07,Equipe 11
H3EJ,2025-06-06,,2025-08,Equipe 11
H3EJ,2025-06-06,,2025-09,Equipe 11
H3EJ,2025-06-06,,2025-10,Equipe 11
H3EJ,2025-06-06,,2025-11,Equipe 11
H3EJ,2025-06-06,,2025-12,Equipe 9
FZAQ,2025-06-20,,2025-07,Equipe 11
FZAQ,2025-06-20,,2025-08,Equipe 11
FZAQ,2025-06-20,,2025-09,Equipe 11
FZAQ,2025-06-20,,2025-10,Equipe 11
FZAQ,2025-06-20,,2025-11,Equipe 11
FZAQ,2025-06-20,,2025-12,Equipe 11
8H3X,2025-12-01,,2025-12,Equipe 5
O4B9,2025-04-14,,2025-05,Equipe 15
O4B9,2025-04-14,,2025-06,Equipe 15
O4B9,2025-04-14,,2025-07,Equipe 15
O4B9,2025-04-14,,2025-08,Equipe 15
O4B9,2025-04-14,,2025-09,Equipe 15
O4B9,2025-04-14,,2025-10,Equipe 15
O4B9,2025-04-14,,2025-11,Equipe 15
O4B9,2025-04-14,,2025-12,Equipe 15
UOE3,2025-05-22,,2025-06,Equipe 7
UOE3,2025-05-22,,2025-07,Equipe 7
UOE3,2025-05-22,,2025-08,Equipe 7
UOE3,2025-05-22,,2025-09,Equipe 7
UOE3,2025-05-22,,2025-10,Equipe 7
UOE3,2025-05-22,,2025-11,Equipe 7
UOE3,2025-05-22,,2025-12,Equipe 7
T0HI,2025-02-02,,2025-03,Equipe 16
T0HI,2025-02-02,,2025-04,Equipe 16
T0HI,2025-02-02,,2025-05,Equipe 16
T0HI,2025-02-02,,2025-06,Equipe 16
T0HI,2025-02-02,,2025-07,Equipe 16
T0HI,2025-02-02,,2025-08,Equipe 16
T0HI,2025-02-02,,2025-09,Equipe 16
T0HI,2025-02-02,,2025-10,Equipe 16
T0HI,2025-02-02,,2025-11,Equipe 16
T0HI,2025-02-02,,2025-12,Equipe 16
HGP8,2025-05-27,,2025-06,Equipe 11
HGP8,2025-05-27,,2025-07,Equipe 11
HGP8,2025-05-27,,2025-08,Equipe 11
HGP8,2025-05-27,,2025-09,Equipe 11
HGP8,2025-05-27,,2025-10,Equipe 11
HGP8,2025-05-27,,2025-11,Equipe 11
HGP8,2025-05-27,,2025-12,Equipe 11
IY3X,2025-08-07,2025-09-06,2025-09,Equipe 9
80J0,2025-02-16,,2025-03,Equipe 18
80J0,2025-02-16,,2025-04,Equipe 18
80J0,2025-02-16,,2025-05,Equipe 18
80J0,2025-02-16,,2025-06,Equipe 18
80J0,2025-02-16,,2025-07,Equipe 18
80J0,2025-02-16,,2025-08,Equipe 18
80J0,2025-02-16,,2025-09,Equipe 18
80J0,2025-02-16,,2025-10,Equipe 18
80J0,2025-02-16,,2025-11,Equipe 18
80J0,2025-02-16,,2025-12,Equipe 18
G50R,2025-07-16,,2025-08,Equipe 18
G50R,2025-07-16,,2025-09,Equipe 18
G50R,2025-07-16,,2025-10,Equipe 18
G50R,2025-07-16,,2025-11,Equipe 18
G50R,2025-07-16,,2025-12,Equipe 18
CXN2,2025-02-21,,2025-03,Equipe 17
CXN2,2025-02-21,,2025-04,Equipe 17
CXN2,2025-02-21,,2025-05,Equipe 17
CXN2,2025-02-21,,2025-06,Equipe 17
CXN2,2025-02-21,,2025-07,Equipe 17
CXN2,2025-02-21,,2025-08,Equipe 17
CXN2,2025-02-21,,2025-09,Equipe 17
CXN2,2025-02-21,,2025-10,Equipe 17
CXN2,2025-02-21,,2025-11,Equipe 17
CXN2,2025-02-21,,2025-12,Equipe 17
2PXG,2025-06-13,,2025-07,Equipe 14
2PXG,2025-06-13,,2025-08,Equipe 14
2PXG,2025-06-13,,2025-09,Equipe 14
2PXG,2025-06-13,,2025-10,Equipe 5
2PXG,2025-06-13,,2025-11,Equipe 5
2PXG,2025-06-13,,2025-12,Equipe 5
X8WD,2025-01-09,,2025-02,Equipe 4
X8WD,2025-01-09,,2025-03,Equipe 4
X8WD,2025-01-09,,2025-04,Equipe 4
X8WD,2025-01-09,,2025-05,Equipe 4
X8WD,2025-01-09,,2025-06,Equipe 4
X8WD,2025-01-09,,2025-07,Equipe 4
X8WD,2025-01-09,,2025-08,Equipe 4
X8WD,2025-01-09,,2025-09,Equipe 4
X8WD,2025-01-09,,2025-10,Equipe 4
X8WD,2025-01-09,,2025-11,Equipe 4
X8WD,2025-01-09,,2025-12,Equipe 4
ZRMH,2025-04-27,,2025-05,Equipe 17
ZRMH,2025-04-27,,2025-06,Equipe 17
ZRMH,2025-04-27,,2025-07,Equipe 17
ZRMH,2025-04-27,,2025-08,Equipe 17
ZRMH,2025-04-27,,2025-09,Equipe 17
ZRMH,2025-04-27,,2025-10,Equipe 17
ZRMH,2025-04-27,,2025-11,Equipe 17
ZRMH,2025-04-27,,2025-12,Equipe 17
3FNB,2025-03-25,,2025-04,Equipe 10
3FNB,2025-03-25,,2025-05,Equipe 10
3FNB,2025-03-25,,2025-06,Equipe 10
3FNB,2025-03-25,,2025-07,Equipe 10
3FNB,2025-03-25,,2025-08,Equipe 10
3FNB,2025-03-25,,2025-09,Equipe 1
3FNB,2025-03-25,,2025-10,Equipe 1
3FNB,2025-03-25,,2025-11,Equipe 1
3FNB,2025-03-25,,2025-12,Equipe 1
DVPI,2025-02-22,,2025-03,Equipe 12
DVPI,2025-02-22,,2025-04,Equipe 12
DVPI,2025-02-22,,2025-05,Equipe 12
DVPI,2025-02-22,,2025-06,Equipe 12
DVPI,2025-02-22,,2025-07,Equipe 12
DVPI,2025-02-22,,2025-08,Equipe 12
DVPI,2025-02-22,,2025-09,Equipe 12
DVPI,2025-02-22,,2025-10,Equipe 10
DVPI,2025-02-22,,2025-11,Equipe 10
DVPI,2025-02-22,,2025-12,Equipe 10
NE9N,2025-07-25,,2025-08,Equipe 7
NE9N,2025-07-25,,2025-09,Equipe 7
NE9N,2025-07-25,,2025-10,Equipe 7
NE9N,2025-07-25,,2025-11,Equipe 7
NE9N,2025-07-25,,2025-12,Equipe 7
NOVJ,2025-01-27,,2025-02,Equipe 7
NOVJ,2025-01-27,,2025-03,Equipe 7
NOVJ,2025-01-27,,2025-04,Equipe 7
NOVJ,2025-01-27,,2025-05,Equipe 7
NOVJ,2025-01-27,,2025-06,Equipe 7
NOVJ,2025-01-27,,2025-07,Equipe 7
NOVJ,2025-01-27,,2025-08,Equipe 7
NOVJ,2025-01-27,,2025-09,Equipe 9
NOVJ,2025-01-27,,2025-10,Equipe 13
NOVJ,2025-01-27,,2025-11,Equipe 10
NOVJ,2025-01-27,,2025-12,Equipe 10
ARJI,2025-07-18,,2025-08,Equipe 6
ARJI,2025-07-18,,2025-09,Equipe 6
ARJI,2025-07-18,,2025-10,Equipe 6
ARJI,2025-07-18,,2025-11,Equipe 6
ARJI,2025-07-18,,2025-12,Equipe 6
8QLH,2025-10-08,,2025-11,Equipe 5
8QLH,2025-10-08,,2025-12,Equipe 5
BIAW,2025-07-28,,2025-08,Equipe 11
BIAW,2025-07-28,,2025-09,Equipe 11
BIAW,2025-07-28,,2025-10,Equipe 11
BIAW,2025-07-28,,2025-11,Equipe 11
BIAW,2025-07-28,,2025-12,Equipe 11
PUBL,2025-10-17,,2025-11,Equipe 6
PUBL,2025-10-17,,2025-12,Equipe 6
QDI0,2025-03-04,,2025-04,Equipe 9
QDI0,2025-03-04,,2025-05,Equipe 9
QDI0,2025-03-04,,2025-06,Equipe 9
QDI0,2025-03-04,,2025-07,Equipe 9
QDI0,2025-03-04,,2025-08,Equipe 9
QDI0,2025-03-04,,2025-09,Equipe 9
QDI0,2025-03-04,,2025-10,Equipe 9
QDI0,2025-03-04,,2025-11,Equipe 14
QDI0,2025-03-04,,2025-12,Equipe 14
7HE4,2025-03-06,,2025-04,Equipe 4
7HE4,2025-03-06,,2025-05,Equipe 4
7HE4,2025-03-06,,2025-06,Equipe 4
7HE4,2025-03-06,,2025-07,Equipe 4
7HE4,2025-03-06,,2025-08,Equipe 4
7HE4,2025-03-06,,2025-09,Equipe 4
7HE4,2025-03-06,,2025-10,Equipe 4
7HE4,2025-03-06,,2025-11,Equipe 12
7HE4,2025-03-06,,2025-12,Equipe 12
2X6G,2025-03-02,,2025-04,Equipe 15
2X6G,2025-03-02,,2025-05,Equipe 15
2X6G,2025-03-02,,2025-06,Equipe 15
2X6G,2025-03-02,,2025-07,Equipe 15
2X6G,2025-03-02,,2025-08,Equipe 15
2X6G,2025-03-02,,2025-09,Equipe 11
2X6G,2025-03-02,,2025-10,Equipe 11
2X6G,2025-03-02,,2025-11,Equipe 11
2X6G,2025-03-02,,2025-12,Equipe 11
26OC,2025-04-27,,2025-05,Equipe 3
26OC,2025-04-27,,2025-06,Equipe 3
26OC,2025-04-27,,2025-07,Equipe 3
26OC,2025-04-27,,2025-08,Equipe 3
26OC,2025-04-27,,2025-09,Equipe 3
26OC,2025-04-27,,2025-10,Equipe 3
26OC,2025-04-27,,2025-11,Equipe 3
26OC,2025-04-27,,2025-12,Equipe 3
7T3B,2025-05-11,,2025-06,Equipe 9
7T3B,2025-05-11,,2025-07,Equipe 9
7T3B,2025-05-11,,2025-08,Equipe 9
7T3B,2025-05-11,,2025-09,Equipe 9
7T3B,2025-05-11,,2025-10,Equipe 9
7T3B,2025-05-11,,2025-11,Equipe 9
7T3B,2025-05-11,,2025-12,Equipe 9
D4Z1,2025-02-13,,2025-03,Equipe 11
D4Z1,2025-02-13,,2025-04,Equipe 11
D4Z1,2025-02-13,,2025-05,Equipe 11
D4Z1,2025-02-13,,2025-06,Equipe 11
D4Z1,2025-02-13,,2025-07,Equipe 11
D4Z1,2025-02-13,,2025-08,Equipe 11
D4Z1,2025-02-13,,2025-09,Equipe 11
D4Z1,2025-02-13,,2025-10,Equipe 11
D4Z1,2025-02-13,,2025-11,Equipe 11
D4Z1,2025-02-13,,2025-12,Equipe 11
G52E,2025-06-28,,2025-07,Equipe 7
G52E,2025-06-28,,2025-08,Equipe 7
G52E,2025-06-28,,2025-09,Equipe 7
G52E,2025-06-28,,2025-10,Equipe 7
G52E,2025-06-28,,2025-11,Equipe 7
G52E,2025-06-28,,2025-12,Equipe 7
FUJE,2025-01-26,,2025-02,Equipe 4
FUJE,2025-01-26,,2025-03,Equipe 4
FUJE,2025-01-26,,2025-04,Equipe 4
FUJE,2025-01-26,,2025-05,Equipe 4
FUJE,2025-01-26,,2025-06,Equipe 4
FUJE,2025-01-26,,2025-07,Equipe 4
FUJE,2025-01-26,,2025-08,Equipe 4
FUJE,2025-01-26,,2025-09,Equipe 4
FUJE,2025-01-26,,2025-10,Equipe 4
FUJE,2025-01-26,,2025-11,Equipe 4
FUJE,2025-01-26,,2025-12,Equipe 4
IR9U,2025-09-26,,2025-10,Equipe 8
IR9U,2025-09-26,,2025-11,Equipe 8
IR9U,2025-09-26,,2025-12,Equipe 8
Y7S3,2025-03-05,,2025-04,Equipe 3
Y7S3,2025-03-05,,2025-05,Equipe 3
Y7S3,2025-03-05,,2025-06,Equipe 6
Y7S3,2025-03-05,,2025-07,Equipe 6
Y7S3,2025-03-05,,2025-08,Equipe 6
Y7S3,2025-03-05,,2025-09,Equipe 6
Y7S3,2025-03-05,,2025-10,Equipe 6
Y7S3,2025-03-05,,2025-11,Equipe 6
Y7S3,2025-03-05,,2025-12,Equipe 6
61GH,2025-02-04,,2025-03,Equipe 8
61GH,2025-02-04,,2025-04,Equipe 8
61GH,2025-02-04,,2025-05,Equipe 8
61GH,2025-02-04,,2025-06,Equipe 8
61GH,2025-02-04,,2025-07,Equipe 8
61GH,2025-02-04,,2025-08,Equipe 8
61GH,2025-02-04,,2025-09,Equipe 8
61GH,2025-02-04,,2025-10,Equipe 8
61GH,2025-02-04,,2025-11,Equipe 8
61GH,2025-02-04,,2025-12,Equipe 8
9N12,2025-05-28,,2025-06,Equipe 12
9N12,2025-05-28,,2025-07,Equipe 12
9N12,2025-05-28,,2025-08,Equipe 12
9N12,2025-05-28,,2025-09,Equipe 12
9N12,2025-05-28,,2025-10,Equipe 12
9N12,2025-05-28,,2025-11,Equipe 12
9N12,2025-05-28,,2025-12,Equipe 12
O0V3,2025-07-09,,2025-08,Equipe 2
O0V3,2025-07-09,,2025-09,Equipe 2
O0V3,2025-07-09,,2025-10,Equipe 2
O0V3,2025-07-09,,2025-11,Equipe 2
O0V3,2025-07-09,,2025-12,Equipe 2
Z0GU,2025-10-20,,2025-11,Equipe 5
Z0GU,2025-10-20,,2025-12,Equipe 5
1UQX,2025-05-13,2025-11-02,2025-06,Equipe 14
1UQX,2025-05-13,2025-11-02,2025-07,Equipe 14
1UQX,2025-05-13,2025-11-02,2025-08,Equipe 14
1UQX,2025-05-13,2025-11-02,2025-09,Equipe 14
1UQX,2025-05-13,2025-11-02,2025-10,Equipe 14
1UQX,2025-05-13,2025-11-02,2025-11,Equipe 14
J4EF,2025-06-23,,2025-07,Equipe 20
J4EF,2025-06-23,,2025-08,Equipe 20
J4EF,2025-06-23,,2025-09,Equipe 20
J4EF,2025-06-23,,2025-10,Equipe 20
J4EF,2025-06-23,,2025-11,Equipe 20
J4EF,2025-06-23,,2025-12,Equipe 20
FF1G,2025-05-12,2025-09-10,2025-06,Equipe 5
FF1G,2025-05-12,2025-09-10,2025-07,Equipe 5
FF1G,2025-05-12,2025-09-10,2025-08,Equipe 5
FF1G,2025-05-12,2025-09-10,2025-09,Equipe 5
XI9D,2025-08-28,,2025-09,Equipe 17
XI9D,2025-08-28,,2025-10,Equipe 17
XI9D,2025-08-28,,2025-11,Equipe 17
XI9D,2025-08-28,,2025-12,Equipe 17
99VH,2025-04-05,,2025-05,Equipe 12
99VH,2025-04-05,,2025-06,Equipe 12
99VH,2025-04-05,,2025-07,Equipe 12
99VH,2025-04-05,,2025-08,Equipe 12
99VH,2025-04-05,,2025-09,Equipe 12
99VH,2025-04-05,,2025-10,Equipe 12
99VH,2025-04-05,,2025-11,Equipe 12
99VH,2025-04-05,,2025-12,Equipe 12
0W1D,2025-06-09,,2025-07,Equipe 4
0W1D,2025-06-09,,2025-08,Equipe 10
0W1D,2025-06-09,,2025-09,Equipe 5
0W1D,2025-06-09,,2025-10,Equipe 5
0W1D,2025-06-09,,2025-11,Equipe 5
0W1D,2025-06-09,,2025-12,Equipe 5
OGW9,2025-01-17,,2025-02,Equipe 2
OGW9,2025-01-17,,2025-03,Equipe 2
OGW9,2025-01-17,,2025-04,Equipe 2
OGW9,2025-01-17,,2025-05,Equipe 2
OGW9,2025-01-17,,2025-06,Equipe 2
OGW9,2025-01-17,,2025-07,Equipe 2
OGW9,2025-01-17,,2025-08,Equipe 2
OGW9,2025-01-17,,2025-09,Equipe 2
OGW9,2025-01-17,,2025-10,Equipe 2
OGW9,2025-01-17,,2025-11,Equipe 2
OGW9,2025-01-17,,2025-12,Equipe 2
XHRO,2025-05-23,,2025-06,Equipe 11
XHRO,2025-05-23,,2025-07,Equipe 11
XHRO,2025-05-23,,2025-08,Equipe 18
XHRO,2025-05-23,,2025-09,Equipe 18
XHRO,2025-05-23,,2025-10,Equipe 18
XHRO,2025-05-23,,2025-11,Equipe 18
XHRO,2025-05-23,,2025-12,Equipe 18
199B,2025-09-19,2025-10-27,2025-10,Equipe 13
TVWA,2025-05-12,,2025-06,Equipe 15
TVWA,2025-05-12,,2025-07,Equipe 15
TVWA,2025-05-12,,2025-08,Equipe 15
TVWA,2025-05-12,,2025-09,Equipe 15
TVWA,2025-05-12,,2025-10,Equipe 15
TVWA,2025-05-12,,2025-11,Equipe 15
TVWA,2025-05-12,,2025-12,Equipe 15
LJZE,2025-07-21,,2025-08,Equipe 11
LJZE,2025-07-21,,2025-09,Equipe 11
LJZE,2025-07-21,,2025-10,Equipe 11
LJZE,2025-07-21,,2025-11,Equipe 11
LJZE,2025-07-21,,2025-12,Equipe 11
JBF7,2025-04-12,,2025-05,Equipe 1
JBF7,2025-04-12,,2025-06,Equipe 1
JBF7,2025-04-12,,2025-07,Equipe 1
JBF7,2025-04-12,,2025-08,Equipe 1
JBF7,2025-04-12,,2025-09,Equipe 1
JBF7,2025-04-12,,2025-10,Equipe 1
JBF7,2025-04-12,,2025-11,Equipe 1
JBF7,2025-04-12,,2025-12,Equipe 1
NY03,2025-03-28,,2025-04,Equipe 4
NY03,2025-03-28,,2025-05,Equipe 4
NY03,2025-03-28,,2025-06,Equipe 4
NY03,2025-03-28,,2025-07,Equipe 4
NY03,2025-03-28,,2025-08,Equipe 4
NY03,2025-03-28,,2025-09,Equipe 4
NY03,2025-03-28,,2025-10,Equipe 4
NY03,2025-03-28,,2025-11,Equipe 2
NY03,2025-03-28,,2025-12,Equipe 2
VKXT,2025-06-12,2025-08-24,2025-07,Equipe 7
VKXT,2025-06-12,2025-08-24,2025-08,Equipe 7
UFDJ,2025-05-01,,2025-05,Equipe 11
UFDJ,2025-05-01,,2025-06,Equipe 11
UFDJ,2025-05-01,,2025-07,Equipe 11
UFDJ,2025-05-01,,2025-08,Equipe 11
UFDJ,2025-05-01,,2025-09,Equipe 11
UFDJ,2025-05-01,,2025-10,Equipe 11
UFDJ,2025-05-01,,2025-11,Equipe 11
UFDJ,2025-05-01,,2025-12,Equipe 11
KDFR,2025-10-25,,2025-11,Equipe 14
KDFR,2025-10-25,,2025-12,Equipe 14
2152,2025-11-08,,2025-12,Equipe 16
0RN6,2025-11-14,,2025-12,Equipe 17
HW1H,2025-08-05,,2025-09,Equipe 1
HW1H,2025-08-05,,2025-10,Equipe 1
HW1H,2025-08-05,,2025-11,Equipe 1
HW1H,2025-08-05,,2025-12,Equipe 1
S57T,2025-01-08,,2025-02,Equipe 9
S57T,2025-01-08,,2025-03,Equipe 9
S57T,2025-01-08,,2025-04,Equipe 9
S57T,2025-01-08,,2025-05,Equipe 9
S57T,2025-01-08,,2025-06,Equipe 9
S57T,2025-01-08,,2025-07,Equipe 9
S57T,2025-01-08,,2025-08,Equipe 9
S57T,2025-01-08,,2025-09,Equipe 9
S57T,2025-01-08,,2025-10,Equipe 9
S57T,2025-01-08,,2025-11,Equipe 9
S57T,2025-01-08,,2025-12,Equipe 9
ANTN,2025-07-28,,2025-08,Equipe 3
ANTN,2025-07-28,,2025-09,Equipe 3
ANTN,2025-07-28,,2025-10,Equipe 3
ANTN,2025-07-28,,2025-11,Equipe 3
ANTN,2025-07-28,,2025-12,Equipe 3
IQSU,2025-04-15,,2025-05,Equipe 17
IQSU,2025-04-15,,2025-06,Equipe 17
IQSU,2025-04-15,,2025-07,Equipe 17
IQSU,2025-04-15,,2025-08,Equipe 17
IQSU,2025-04-15,,2025-09,Equipe 17
IQSU,2025-04-15,,2025-10,Equipe 17
IQSU,2025-04-15,,2025-11,Equipe 17
IQSU,2025-04-15,,2025-12,Equipe 17
HA51,2025-10-13,,2025-11,Equipe 6
HA51,2025-10-13,,2025-12,Equipe 6
LIY8,2025-09-22,,2025-10,Equipe 1
LIY8,2025-09-22,,2025-11,Equipe 1
